chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw,n_records,sample_id
Co2SnZr,0.37249499999999997,3,1.0397207708399179,81.9503222,4.5,9.0,1542.27,-31.25,4.5,1.7625,1,TUDA/Tetragonally_distortion_cubic/Zr4Co8Sn4_#139_285.json
Co2Ta,0.22830699999999998,2,0.6365141682948129,99.60475693333332,4.666666666666666,7.666666666666667,2275.333333333333,-21.333333333333332,5.0,1.7533333333333332,1,TUDA/Tetragonally_distortion_cubic/Ta8Co16_#141_325.json
Co2TaZn,0.21212199999999998,3,1.0397207708399179,91.0490677,4.5,8.75,1879.67,-15.25,4.25,1.7275,1,TUDA/Tetragonally_distortion_cubic/Ta4Zn4Co8_#139_332.json
Co2Y,0.46491000000000005,2,0.6365141682948129,68.92407693333334,4.333333333333333,7.0,1778.3333333333333,-19.555555555555554,4.333333333333333,1.66,1,TUDA/Tetragonally_distortion_cubic/Y8Co16_#141_257.json
Co3Ta,0.33097499999999996,2,0.5623351446188083,89.43686629999999,4.5,8.0,2148.5,-18.0,5.0,1.785,1,TUDA/Tetragonally_distortion_cubic/Ta1Co3_#123_293.json
Co3Ti,0.659674,2,0.5623351446188083,56.1666708,4.0,7.75,1811.25,-21.0,4.75,1.795,1,TUDA/Tetragonally_distortion_cubic/Ti1Co3_#123_213.json
Co5Ta,0.858,2,0.45056120886630463,79.26897566666666,4.333333333333333,8.333333333333334,2021.6666666666667,-13.333333333333334,5.0,1.8166666666666667,25,ICCRAM_UBU/AGA/Co-Ta/5-1/Co20Ta4_#12_1.json
Co5Ta2,0.35100000000000003,2,0.5982695885852573,93.7945337142857,4.571428571428571,7.857142857142858,2202.8571428571427,-19.591836734693878,5.0,1.7714285714285714,10,ICCRAM_UBU/AGA/Co-Ta/5-2/Co10Ta4_#1_1.json
Co6Ta,0.9955,2,0.41011631828840905,76.36386405714285,4.285714285714286,8.428571428571427,1985.4285714285713,-11.755102040816325,5.0,1.8257142857142854,20,
Co7Ta,1.091,2,0.37677016125643675,74.18503035,4.25,8.5,1958.25,-10.5,5.0,1.8325,24,ICCRAM_UBU/AGA/Co-Ta/7-1/Co14Ta2_#8_1.json
CoCrMn2,1.1942050000000002,3,1.0397207708399179,55.20136075,4.0,7.25,1746.5,-2.5,6.25,1.6600000000000001,2,
CoCrNb,0.7125589999999999,3,1.0986122886681098,67.94524213333332,4.333333333333333,6.666666666666666,2232.6666666666665,-16.0,5.333333333333333,1.7133333333333332,1,TUDA/Tetragonally_distortion_cubic/Nb4Cr4Co4_#119_193.json
CoCu2Sn,0.23002299999999998,3,1.0397207708399179,76.1841236,4.25,11.25,1247.155,6.5,4.25,1.91,1,TUDA/Tetragonally_distortion_cubic/Co4Cu8Sn4_#139_324.json
CoFe10Ta,1.983,3,0.5660857389596289,66.52775636666667,4.166666666666667,7.833333333333334,1930.6666666666667,-5.111111111111112,5.833333333333334,1.8066666666666669,20,ICCRAM_UBU/AGA/Co_Fe_Ta/1-10-1/Co1Fe10Ta1_#2_1.json
CoFe2Ga,1.47597,3,1.0397207708399179,60.0866736,4.0,9.5,1423.22865,-4.25,5.0,1.8375,2,TUDA/Tetragonally_distortion_cubic/Ga4Fe8Co4_#139_43.json
CoFe2Ge,1.3214000000000001,3,1.0397207708399179,60.81359859999999,4.0,9.75,1650.35,-13.625,5.25,1.8875,2,TUDA/Tetragonally_distortion_cubic/Fe8Co4Ge4_#139_57.json
CoFe2Ta,0.905,3,1.0397207708399179,87.8928691,4.5,7.5,2170.0,-14.0,5.5,1.76,35,ICCRAM_UBU/AGA/Co_Fe_Ta/1-2-1/4-8-4/Co8Fe16Ta8_#8_4.json
CoFe4Ta,1.5310000000000001,3,0.8675632284814613,77.21031273333332,4.333333333333333,7.666666666666667,2050.3333333333335,-9.777777777777777,5.666666666666666,1.7833333333333332,29,ICCRAM_UBU/AGA/Co_Fe_Ta/1-4-1/2-8-2/Co4Fe16Ta4_#8_4.json
CoFe6Ta,1.77,3,0.7356219397587946,71.86903455,4.25,7.75,1990.5,-7.5,5.75,1.795,51,ICCRAM_UBU/AGA/Co_Fe_Ta/1-6-1/2-12-2/Co4Fe24Ta4_#63_2.json
CoFe8Ta,1.896,3,0.639031859650177,68.66426764,4.2,7.800000000000001,1954.6000000000001,-6.080000000000001,5.800000000000001,1.802,30,ICCRAM_UBU/AGA/Co_Fe_Ta/1-8-1/1-8-1/Co1Fe8Ta1_#65_1.json
CoGaMn2,1.6683,3,1.0397207708399179,59.63309575,4.0,9.0,1277.22865,-11.75,5.5,1.6975,2,
CoHf,0.211303,2,0.6931471805599453,118.71259719999999,5.0,6.5,2137.0,-35.0,4.5,1.5899999999999999,1,TUDA/Tetragonally_distortion_cubic/Hf1Co1_#123_334.json
CoInMn2,1.5823150000000001,3,1.0397207708399179,70.90684575,4.25,9.0,1308.937125,0.75,5.5,1.69,2,
CoMn2Si,0.7843249999999999,3,1.0397207708399179,49.22357075,3.75,9.25,1623.25,-34.5,5.75,1.72,2,
CoMn2Sn,1.5079799999999999,3,1.0397207708399179,71.87999575,4.25,9.25,1327.77,-6.0,5.75,1.7349999999999999,2,TUDA/Tetragonally_distortion_cubic/Mn8Co4Sn4_#119_39.json
CoMnSb,0.7084094999999999,3,1.0986122886681098,78.54377956666666,4.333333333333333,10.333333333333334,1396.9266666666665,-6.222222222222221,5.666666666666666,1.8266666666666664,2,
CoMnSi,0.6166745,3,1.0986122886681098,47.31874623333333,3.666666666666666,10.0,1657.9999999999998,-39.11111111111111,5.333333333333333,1.7766666666666666,2,
