chemical formula,saturation magnetization,compoundradix,stoicentw,Zw,periodw,groupw,meltingTw,miedemaH,valencew,electronegw,n_records,sample_id
Mn2SiV,0.243187,3,1.0397207708399179,47.22564965,3.75,8.25,1727.0,-35.0,5.75,1.6575,1,TUDA/Tetragonally_distortion_cubic/Mn8V4Si4_#139_312.json
Mn2Zr,0.4088,2,0.6365141682948129,67.03342953333333,4.333333333333333,6.0,1721.9999999999998,-13.333333333333332,6.0,1.4766666666666666,1,TUDA/Tetragonally_distortion_cubic/Zr8Mn16_#141_279.json
Mn3NNi,1.8202800000000001,3,0.9502705392332346,47.50291458,3.6,9.200000000000001,1269.63,-72.0,6.0,1.9200000000000002,2,
Mn3NPd,1.8154500000000002,3,0.9502705392332346,57.048426580000005,3.8,9.200000000000001,1289.64,-78.08,6.0,1.9780000000000002,1,TUDA/Tetragonally_distortion_cubic/Mn3Pd1N1_#123_10.json
Mn3NPt,1.8321,3,0.9502705392332346,74.78120658,4.0,9.200000000000001,1332.3100000000002,-78.88000000000001,6.4,1.994,1,TUDA/Tetragonally_distortion_cubic/Mn3Pt1N1_#123_7.json
Mn3NRh,1.5311,3,0.9502705392332346,56.34532698,3.8,9.0,1371.43,-74.88,6.4,1.994,1,TUDA/Tetragonally_distortion_cubic/Mn3Rh1N1_#123_37.json
Mn3NSn,0.6466259999999999,3,0.9502705392332346,59.506366580000005,3.8,10.0,1025.046,-74.88,6.0,1.9300000000000002,1,TUDA/Tetragonally_distortion_cubic/Mn3Sn1N1_#123_219.json
Mn3NZn,0.943896,3,0.9502705392332346,48.84062658,3.6,9.600000000000001,1062.566,-74.08,5.6,1.868,1,TUDA/Tetragonally_distortion_cubic/Mn3Zn1N1_#123_108.json
Mn3Ni2Si,1.708575,3,1.0114042647073518,51.71433548333333,3.833333333333333,9.166666666666666,1616.6666666666665,-29.22222222222222,5.5,1.7283333333333333,2,
Mn3Pt,2.14406,2,0.5623351446188083,89.974758225,4.5,7.75,1649.6,-21.0,6.75,1.7325,1,TUDA/Tetragonally_distortion_cubic/Mn3Pt1_#123_1.json
Mn3Rh,0.45933599999999997,2,0.5623351446188083,66.929908725,4.25,7.5,1698.5,-12.0,6.75,1.7325,1,TUDA/Tetragonally_distortion_cubic/Mn3Rh1_#123_260.json
Mn3Sb,1.283,2,0.5623351446188083,71.64355822499999,4.25,9.0,1365.195,-8.25,6.5,1.675,1,TUDA/Tetragonally_distortion_cubic/Mn3Sb1_#123_65.json
Mn4N,1.11893,2,0.5004024235381879,46.75183544000001,3.6,8.600000000000001,1227.8300000000002,-76.16000000000001,6.6000000000000005,1.8480000000000003,1,TUDA/Tetragonally_distortion_cubic/Mn4N1_#47_88.json
MnN,2.00078,2,0.6931471805599453,34.47252215,3.0,11.0,791.075,-119.0,6.0,2.295,1,TUDA/Tetragonally_distortion_cubic/Mn4N4_#139_4.json
MnNbRu2,0.792589,3,1.0397207708399179,87.49710407500001,4.75,7.0,2370.75,-27.0,7.0,1.8875,1,TUDA/Tetragonally_distortion_cubic/Mn4Nb4Ru8_#139_164.json
MnNi,2.04965,2,0.6931471805599453,56.815742150000005,4.0,8.5,1623.5,-8.0,5.5,1.73,1,TUDA/Tetragonally_distortion_cubic/Mn1Ni1_#123_3.json
MnNi2Sb,0.8377964999999999,3,1.0397207708399179,73.521256075,4.25,10.5,1469.695,-7.25,5.0,1.8549999999999998,2,
MnNi2Sn,0.8615065,3,1.0397207708399179,72.758906075,4.25,10.25,1370.02,-7.75,4.75,1.8324999999999998,2,
MnNi3,1.26257,2,0.5623351446188083,57.754591075,4.0,9.25,1675.75,-6.0,4.75,1.8199999999999998,1,TUDA/Tetragonally_distortion_cubic/Mn1Ni3_#123_69.json
MnNiSb,0.8154870000000001,3,1.0986122886681098,78.46386143333334,4.333333333333333,10.666666666666668,1383.5933333333332,-8.88888888888889,5.333333333333333,1.8366666666666664,4,
MnNiV,0.424236,3,1.0986122886681098,54.857664766666666,4.0,7.333333333333333,1809.9999999999998,-12.0,5.333333333333333,1.6966666666666665,1,TUDA/Tetragonally_distortion_cubic/Mn4V4Ni4_#119_276.json
MnOsTc,0.580938,3,1.0986122886681098,114.3903481,5.0,7.333333333333332,2418.333333333333,-7.555555555555555,7.333333333333332,1.8833333333333333,1,TUDA/Tetragonally_distortion_cubic/Mn4Tc4Os4_#119_232.json
MnPd,1.68706,2,0.6931471805599453,80.67952215,4.5,8.5,1673.525,-23.0,5.5,1.875,1,TUDA/Tetragonally_distortion_cubic/Mn1Pd1_#123_22.json
MnPd2Sb,0.735472,3,1.0397207708399179,97.385036075,4.75,10.5,1519.72,-28.25,5.0,2.0,1,TUDA/Tetragonally_distortion_cubic/Mn4Sb4Pd8_#139_184.json
MnPd2Sn,0.730328,3,1.0397207708399179,96.622686075,4.75,10.25,1420.045,-30.25,4.75,1.9775,1,TUDA/Tetragonally_distortion_cubic/Mn4Sn4Pd8_#139_187.json
MnPdSb,0.676276,3,1.0986122886681098,94.3730481,4.666666666666666,10.666666666666666,1416.9433333333332,-27.555555555555554,5.333333333333333,1.9333333333333331,1,TUDA/Tetragonally_distortion_cubic/Mn4Sb4Pd4_#119_207.json
MnPdTc,0.33525099999999997,3,1.0986122886681098,86.45301476666667,4.666666666666666,7.999999999999999,1925.6833333333332,-12.0,5.999999999999999,1.8833333333333333,1,TUDA/Tetragonally_distortion_cubic/Mn4Tc4Pd4_#119_292.json
MnPt3,0.806415,2,0.5623351446188083,160.048186075,5.5,9.25,1910.8000000000002,-21.0,6.25,2.0974999999999997,1,TUDA/Tetragonally_distortion_cubic/Mn1Pt3_#123_159.json
MnPtSb,0.771404,3,1.0986122886681098,123.92768143333332,5.0,10.666666666666666,1488.06,-24.888888888888886,5.999999999999999,1.9599999999999997,3,TUDA/Tetragonally_distortion_cubic/Mn4Sb4Pt4_#119_176.json
MnPtSn,0.7054324999999999,3,1.0986122886681098,122.91121476666666,5.0,10.333333333333332,1355.1599999999999,-26.666666666666664,5.666666666666666,1.9299999999999997,2,
MnRe2Sr,0.43304899999999996,3,1.0397207708399179,128.743311075,5.25,5.75,2371.75,25.75,5.75,1.575,1,TUDA/Tetragonally_distortion_cubic/Sr4Mn4Re8_#119_270.json
MnRh,1.6961400000000002,2,0.6931471805599453,78.92177315,4.5,8.0,1878.0,-16.0,6.5,1.915,1,TUDA/Tetragonally_distortion_cubic/Mn1Rh1_#123_21.json
MnRh2Sc,0.815048,3,1.0397207708399179,76.4262392,4.5,7.0,1951.75,-40.5,5.5,1.8675,1,TUDA/Tetragonally_distortion_cubic/Sc3Mn3Rh6_#2_156.json
MnRh2Si,1.0014,3,1.0397207708399179,72.208512075,4.25,9.75,1920.0,-42.25,5.75,2.0025,1,TUDA/Tetragonally_distortion_cubic/Mn4Si4Rh8_#139_101.json
MnRh2Sn,0.870115,3,1.0397207708399179,94.864937075,4.75,9.75,1624.52,-16.25,5.75,2.0175,1,TUDA/Tetragonally_distortion_cubic/Mn4Sn4Rh8_#139_130.json
MnRh2Ti,0.961189,3,1.0397207708399179,77.154037075,4.5,7.25,1983.5,-36.0,5.75,1.9124999999999999,1,TUDA/Tetragonally_distortion_cubic/Ti4Mn4Rh8_#139_106.json
MnRh2Zn,0.716845,3,1.0397207708399179,81.532762075,4.5,9.25,1671.42,-18.0,5.25,1.9399999999999997,1,TUDA/Tetragonally_distortion_cubic/Mn4Zn4Rh8_#139_191.json
MnRhSb,0.6873779999999999,3,1.0986122886681098,93.20121543333333,4.666666666666666,10.333333333333334,1553.2599999999998,-15.555555555555554,6.0,1.9599999999999997,3,TUDA/Tetragonally_distortion_cubic/Mn4Sb4Rh4_#119_201.json
MnRu2Sb,0.7721359999999999,3,1.0397207708399179,94.710536075,4.75,9.5,1909.195,-3.75,7.0,2.0,1,TUDA/Tetragonally_distortion_cubic/Mn4Sb4Ru8_#139_175.json
MnRu2Si,0.677227,3,1.0397207708399179,71.29176107500001,4.25,9.25,2105.0,-35.75,6.75,1.9625000000000001,1,TUDA/Tetragonally_distortion_cubic/Mn4Si4Ru8_#139_206.json
MnRu2Sn,0.591746,3,1.0397207708399179,93.948186075,4.75,9.25,1809.52,-5.25,6.75,1.9775,1,TUDA/Tetragonally_distortion_cubic/Mn4Sn4Ru8_#139_231.json
MnRu2Ta,0.7912159999999999,3,1.0397207708399179,109.507481575,5.0,7.0,2505.75,-26.0,7.0,1.8625,1,TUDA/Tetragonally_distortion_cubic/Ta4Mn4Ru8_#139_165.json
MnSi,0.49747,2,0.6931471805599453,41.511522150000005,3.5,10.5,1603.0,-45.0,5.5,1.725,1,TUDA/Tetragonally_distortion_cubic/Mn4Si4_#19_247.json
MnSiTc2,0.42164799999999997,3,1.0397207708399179,69.75576107500001,4.25,8.75,2016.5,-34.25,6.25,1.8124999999999998,1,TUDA/Tetragonally_distortion_cubic/Mn4Si4Tc8_#139_277.json
MnZn,1.26597,2,0.6931471805599453,60.16002215,4.0,9.5,1105.84,-6.0,4.5,1.6,1,TUDA/Tetragonally_distortion_cubic/Mn1Zn1_#123_68.json
MnZn3,0.570966,2,0.5623351446188083,62.771011075000004,4.0,10.75,899.26,-4.5,3.25,1.6249999999999998,1,TUDA/Tetragonally_distortion_cubic/Mn1Zn3_#123_234.json
NNi4,0.771226,2,0.5004024235381879,49.75615200000001,3.6,11.0,1395.0300000000002,-44.16000000000001,4.2,2.136,1,TUDA/Tetragonally_distortion_cubic/Ni4N1_#123_177.json
Ni3Pt,0.509625,2,0.5623351446188083,92.791305,4.5,10.0,1806.35,-3.75,4.5,2.0025,1,TUDA/Tetragonally_distortion_cubic/Ni3Pt1_#123_242.json
NiRh2Sn,0.19244799999999998,3,1.0397207708399179,95.803786,4.75,10.5,1676.77,-8.0,5.0,2.1075,1,TUDA/Tetragonally_distortion_cubic/Ni4Sn4Rh8_#139_346.json
NiSbV,0.453943,3,1.0986122886681098,77.13168333333333,4.333333333333333,10.0,1604.9266666666665,-12.0,4.666666666666667,1.863333333333333,1,TUDA/Tetragonally_distortion_cubic/V4Ni4Sb4_#119_261.json
